% Model,Resultfiles.mph
% Version,COMSOL 6.2.0.290
% Date,"Mar 31 2025, 14:38"
% Dimension,2
% Nodes,9491
% Expressions,76
% Description,Phase fraction
% Length unit,m
% X,Y,audc.phase5.xi (1) @ t=0,audc.phase5.xi (1) @ t=0.1,audc.phase5.xi (1) @ t=0.2,audc.phase5.xi (1) @ t=0.3,audc.phase5.xi (1) @ t=0.4,audc.phase5.xi (1) @ t=0.5,audc.phase5.xi (1) @ t=0.6,audc.phase5.xi (1) @ t=0.7,audc.phase5.xi (1) @ t=0.8,audc.phase5.xi (1) @ t=0.9,audc.phase5.xi (1) @ t=1,audc.phase5.xi (1) @ t=2,audc.phase5.xi (1) @ t=3,audc.phase5.xi (1) @ t=4,audc.phase5.xi (1) @ t=5,audc.phase5.xi (1) @ t=6,audc.phase5.xi (1) @ t=7,audc.phase5.xi (1) @ t=8,audc.phase5.xi (1) @ t=9,audc.phase5.xi (1) @ t=10,audc.phase5.xi (1) @ t=11,audc.phase5.xi (1) @ t=12,audc.phase5.xi (1) @ t=13,audc.phase5.xi (1) @ t=14,audc.phase5.xi (1) @ t=15,audc.phase5.xi (1) @ t=16,audc.phase5.xi (1) @ t=17,audc.phase5.xi (1) @ t=18,audc.phase5.xi (1) @ t=19,audc.phase5.xi (1) @ t=20,audc.phase5.xi (1) @ t=21,audc.phase5.xi (1) @ t=22,audc.phase5.xi (1) @ t=23,audc.phase5.xi (1) @ t=24,audc.phase5.xi (1) @ t=25,audc.phase5.xi (1) @ t=26,audc.phase5.xi (1) @ t=27,audc.phase5.xi (1) @ t=28,audc.phase5.xi (1) @ t=29,audc.phase5.xi (1) @ t=30,audc.phase5.xi (1) @ t=31,audc.phase5.xi (1) @ t=32,audc.phase5.xi (1) @ t=33,audc.phase5.xi (1) @ t=34,audc.phase5.xi (1) @ t=35,audc.phase5.xi (1) @ t=36,audc.phase5.xi (1) @ t=37,audc.phase5.xi (1) @ t=38,audc.phase5.xi (1) @ t=39,audc.phase5.xi (1) @ t=40,audc.phase5.xi (1) @ t=41,audc.phase5.xi (1) @ t=42,audc.phase5.xi (1) @ t=43,audc.phase5.xi (1) @ t=44,audc.phase5.xi (1) @ t=45,audc.phase5.xi (1) @ t=46,audc.phase5.xi (1) @ t=47,audc.phase5.xi (1) @ t=48,audc.phase5.xi (1) @ t=49,audc.phase5.xi (1) @ t=50,audc.phase5.xi (1) @ t=51,audc.phase5.xi (1) @ t=52,audc.phase5.xi (1) @ t=53,audc.phase5.xi (1) @ t=54,audc.phase5.xi (1) @ t=55,audc.phase5.xi (1) @ t=56,audc.phase5.xi (1) @ t=57,audc.phase5.xi (1) @ t=58,audc.phase5.xi (1) @ t=59,audc.phase5.xi (1) @ t=60,audc.phase5.xi (1) @ t=100,audc.phase5.xi (1) @ t=200,audc.phase5.xi (1) @ t=300,audc.phase5.xi (1) @ t=400,audc.phase5.xi (1) @ t=500,audc.phase5.xi (1) @ t=600
0.001522214956565,9.9771239243E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27372773540018325,0.5771768380868858,0.7313199226157101,0.8159361813744406,0.8658688275644525,0.8974427270346705,0.9180330424267851,0.932011765372442,0.9418367361026095,0.9490128693244301,0.954590930743491,0.9591877716305721,0.9630930693078892,0.9664469186188365,0.9693344824726016,0.971818887363162,0.9739523765234855,0.9757790689034203,0.9773370436987908,0.9786593591542089,0.979774699029461,0.9807079894472468,0.9814810208581153,0.9821126612234823,0.9826193360269253,0.9830154542491973,0.9833136285581656,0.9835249168700775,0.9836590659283346,0.9837246230316654,0.9837389422365661,0.9837402604070115,0.9837403777085949,0.9837403884981869,0.9837403895695667,0.9837403896783745,0.9837403896880168,0.9837403896888668,0.9837403896889423,0.9837403896889492,0.9837403896889501,0.9837403896889501,0.9837403896889503,0.9837403896889503,0.9837403896889503,0.9837403896889498,0.9837403896889495,0.9837403896889494,0.9837403896889494,0.9837403896889495
0.00152875431151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27949800657603535,0.5800497771385316,0.7328534128511345,0.8168209022935855,0.8664129746138839,0.8977926432036142,0.9182687861053208,0.932177087705072,0.9419568124909898,0.949104401236997,0.9546656310354841,0.9592516216741597,0.9631486779006874,0.9664957135044827,0.9693774328056489,0.9718567738824118,0.9739858609201567,0.9758087216381867,0.9773633591920743,0.9786827668203545,0.9797955724156285,0.9807266539432922,0.9814977600890326,0.9821277229470634,0.9826329370417808,0.9830277844390518,0.9833248544737181,0.9835351848160664,0.983668504563322,0.9837333457271646,0.9837470549100087,0.9837482914720299,0.9837484015114283,0.9837484116330327,0.983748412638083,0.9837484127401545,0.9837484127491999,0.9837484127499971,0.9837484127500681,0.9837484127500745,0.9837484127500752,0.9837484127500753,0.9837484127500753,0.9837484127500752,0.983748412750075,0.9837484127500745,0.9837484127500741,0.9837484127500741,0.9837484127500741,0.9837484127500741
0.00183875382086,2.42076532965E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2365130453751443E-5,0.30875048654697784,0.5945423879923023,0.7405658486763426,0.8212521830329166,0.8691238866517699,0.8995240022190351,0.919425571927129,0.9329803671191548,0.9425336407168404,0.949539415006071,0.955018414850377,0.9595523559811637,0.9634103110675986,0.9667251872621777,0.9695793902782401,0.9720349342329134,0.974143369210287,0.9759482863271367,0.9774873258825265,0.9787931713181465,0.9798941845015069,0.9808150142443894,0.9815772106311927,0.9821994353164569,0.9826979358098933,0.9830869664591672,0.9833790059601684,0.9835849960561526,0.9837145823021651,0.9837762243964983,0.983788891922691,0.983795537946195,0.9837959671803241,0.9837960066619834,0.9837960105824146,0.9837960109805687,0.983796011015852,0.9837960110189624,0.9837960110192386,0.9837960110192638,0.9837960110192665,0.9837960110192666,0.9837960110192665,0.9837960110192665,0.9837960110192664,0.9837960110192665,0.9837960110192665,0.9837960110192665,0.9837960110192665,0.9837960110192665
0.001845293175805,1.42305293722E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8012851539933504E-5,0.2996046011524352,0.5899997523349247,0.7381459850355236,0.8198597693628549,0.8682703322631994,0.8989774114445935,0.9190591592289645,0.9327249042009849,0.9423493223119553,0.9493997363377948,0.9549047767687967,0.9594553435818352,0.9633258544081409,0.9666510841078324,0.9695141553074627,0.9719773742346898,0.9740924741054826,0.9759031858267667,0.9774472660422115,0.9787574975862764,0.9798623277065132,0.9807864787823402,0.9815515646750972,0.9821763017882175,0.9826769848692734,0.9830679093157413,0.983361589394891,0.9835689977012441,0.983699806666985,0.9837624992631233,0.9837753905949407,0.9837792999091073,0.9837795668592775,0.9837795914137921,0.9837795938519945,0.9837795940996152,0.9837795941215587,0.9837795941234931,0.9837795941236649,0.9837795941236807,0.9837795941236822,0.9837795941236824,0.9837795941236824,0.9837795941236824,0.9837795941236824,0.9837795941236819,0.9837795941236818,0.9837795941236815,0.9837795941236817,0.9837795941236818
0.0018546203596800002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29114818702293344,0.5858501993810451,0.7359493766218604,0.8186069906781552,0.8675114614992944,0.8984989990231468,0.9187446469475272,0.9325107838070991,0.9421991711551331,0.9492891522669363,0.95481642054486,0.9593805143032444,0.963260936406777,0.9665942186473429,0.9694641407546993,0.9719332606525456,0.9740534622378514,0.9758685890713401,0.9774164908074804,0.9787300294569428,0.9798377201331177,0.980764343586369,0.9815315641920116,0.9821581416396803,0.9826604079571417,0.9830526908779519,0.983347532635396,0.9835559300300962,0.9836875765378096,0.9837509733111076,0.9837634524417269,0.9837645244937101,0.9837646198936604,0.9837646286687044,0.9837646295400447,0.9837646296285368,0.9837646296363787,0.9837646296370699,0.9837646296371313,0.983764629637137,0.9837646296371374,0.9837646296371374,0.9837646296371374,0.9837646296371374,0.9837646296371371,0.9837646296371364,0.9837646296371361,0.9837646296371361,0.9837646296371361,0.983764629637136
0.0021618320401,2.84610587444E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9024508295002663E-4,0.32479832645574896,0.6024763446523118,0.7448091107340685,0.8237002953445045,0.8706264087404341,0.9004861832784716,0.9200697604501438,0.9334283784925437,0.9428557402826327,0.9497828193924349,0.9552162831010222,0.95972129887735,0.9635574870576442,0.966854441155738,0.9696933144756423,0.9721356086544337,0.9742325533792221,0.9760274956607523,0.9775578727764942,0.9788561947977944,0.9799506747122448,0.9808658330885466,0.9816231088695785,0.9822410683315631,0.9827358767176033,0.9831217169094021,0.9834110056960897,0.9836146311480036,0.9837421920783902,0.9838021077274093,0.9838139381017733,0.983820499049955,0.9838209213659582,0.983820960211277,0.9838209640685212,0.9838209644602579,0.9838209644949724,0.9838209644980327,0.9838209644983045,0.9838209644983293,0.9838209644983319,0.9838209644983321,0.9838209644983321,0.9838209644983321,0.9838209644983323,0.983820964498332,0.983820964498332,0.983820964498332,0.983820964498332,0.983820964498332
0.0021711592239749998,1.42305293722E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3515695377054844E-4,0.3243827616249596,0.6022566030778749,0.7446812626782802,0.8236201590356602,0.8705729599883394,0.9004488065286923,0.9200423615535218,0.933407453455285,0.9428391637462017,0.9497690666496954,0.955204406083465,0.9597108771410745,0.9635482789865906,0.9668462819485661,0.9696860674696749,0.9721291577296212,0.9742267983938713,0.9760223496161808,0.9775532599137096,0.9788520490650341,0.979946938445675,0.9808624558845429,0.9816200466452929,0.982238282453284,0.9827333332733619,0.9831193861085046,0.98340886133542,0.9836126501506682,0.9837403541043901,0.9838003948186985,0.983812286931823,0.98381885382142,0.983819276627468,0.9838193155178618,0.9838193193795817,0.9838193197717731,0.9838193198065279,0.9838193198095917,0.9838193198098638,0.9838193198098887,0.9838193198098912,0.9838193198098916,0.9838193198098917,0.9838193198098916,0.9838193198098921,0.9838193198098913,0.9838193198098915,0.9838193198098915,0.9838193198098915,0.9838193198098915
0.00218048640785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.890564227171482E-4,0.3303927578397092,0.605242647545316,0.7462889299384624,0.8245542670896603,0.8711506646980735,0.9008220018241845,0.9202946660965168,0.9335848491870147,0.9429682821952956,0.9498679094186611,0.9552854844417675,0.9597803963554346,0.9636089761878252,0.9668996633580348,0.9697331756925047,0.9721708360427526,0.9742637621604019,0.9760552157322121,0.9775825630584288,0.97887825359495,0.9799704482747019,0.9808836228261498,0.9816391773306625,0.9822556447139631,0.982749161452741,0.9831338854384191,0.9834222118120111,0.9836250098745637,0.9837518620934095,0.9838111735598556,0.983822710948011,0.9838292421271921,0.9838296620223327,0.9838297006449764,0.9838297044801094,0.9838297048696006,0.9838297049041164,0.983829704907159,0.9838297049074294,0.9838297049074539,0.9838297049074564,0.9838297049074566,0.9838297049074566,0.9838297049074566,0.9838297049074564,0.983829704907457,0.983829704907457,0.9838297049074569,0.9838297049074569,0.983829704907457
0.00231779894194,2.2337488573199998E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.708444444497122E-4,0.3442910246870243,0.6121505597561079,0.7500101456969344,0.8267174534763011,0.8724890674938198,0.9016869561939549,0.9208796531682657,0.9339963029069447,0.9432678646048518,0.9500972975384983,0.955473661406232,0.959941754342305,0.9637498645401443,0.9670235779854123,0.9698425355321041,0.9722675975730435,0.9743495851202859,0.9761315314243704,0.9776506120462065,0.9789391132943699,0.9800250558741959,0.9809327946387998,0.9816836248431744,0.9822959893936309,0.9827859470695552,0.9831675882184225,0.9834532494290988,0.9836537491996186,0.9837786257197605,0.9838362457239982,0.9838469603815245,0.983853408723255,0.9838538218662275,0.9838538598677959,0.9838538636412577,0.9838538640244855,0.983853864058446,0.9838538640614398,0.9838538640617056,0.98385386406173,0.9838538640617325,0.9838538640617329,0.9838538640617329,0.9838538640617329,0.9838538640617329,0.9838538640617327,0.9838538640617327,0.9838538640617327,0.9838538640617327,0.9838538640617327
0.002327126125815,8.106959201E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.756647523092892E-4,0.3444348714681974,0.6122221893313209,0.7500488286360399,0.826739994077583,0.8725030463090585,0.9016960122791229,0.9208857934962977,0.9340006332166864,0.9432710267250293,0.9500997284171568,0.9554756628592359,0.9599434735980619,0.9637513672019435,0.9670249003593698,0.96984370318891,0.9722686312758032,0.9743505025010988,0.9761323476948618,0.9776513403935296,0.978939765173021,0.9800256412490533,0.9809333221905013,0.9816841021384843,0.9822964230426547,0.9827863428565844,0.9831679512097558,0.9834535840685403,0.9836540593907844,0.9837789148953939,0.9838365169088698,0.9838472228161537,0.983853670276694,0.9838540833478433,0.9838541213428051,0.9838541251156109,0.9838541254987722,0.9838541255327268,0.9838541255357202,0.9838541255359861,0.9838541255360103,0.9838541255360128,0.9838541255360131,0.9838541255360131,0.9838541255360131,0.983854125536013,0.9838541255360136,0.9838541255360134,0.9838541255360134,0.9838541255360134,0.9838541255360134
